ID,Layer,Question,Domain,Data Element,FHIR Resource,FHIR Path,Terminology Binding,Binding Strength,Bundle,Code Provenance,Value Provenance,Notes,IG Implementation
Q1.a,Consensus,Q1,Patient History,Age,Patient,Patient.birthDate,—,—,Registration,—,Numeric,Standard FHIR — derive from birthDate (see L3.A.3 for the canonical-fact rationale).,ShoulderPatient.birthDate 1..1 MS
Q1.b,Consensus,Q1,Patient History,Gender,Patient,Patient.gender,http://hl7.org/fhir/ValueSet/administrative-gender,required,Registration,—,Reused,FHIR administrative gender (4 codes: male / female / other / unknown); not biological sex — sex assigned at birth is carried separately by the HL7 Gender Harmony RSG extension at L3.A.6. See ADR-0053.,ShoulderPatient.gender 1..1 MS
Q1.c,Consensus,Q1,Patient History,Comorbidities,Condition,Condition.code,http://hl7.org/fhir/uv/ips/ValueSet/problems-snomed-absent-unknown-uv-ips,extensible,Registration,Reused,—,"SNOMED CT problem-list coding aligned with IPS via ProblemsSnomedAbsentUnknownUvIps (IPS 1.1.0; composes SNOMED ECL < 404684003 |Clinical finding| + < 243796009 |Situation| + < 272379006 |Event|, excluding < 71388002 |Procedure|). Binding strength tightened from IPS's preferred to extensible — where a SNOMED concept exists, clinicians MUST use it; ICD-10-GM and other codings remain permitted as additional Condition.code.coding[] siblings (dual-coding pattern), mirroring SenologieOnFHIR without locking it into the slice structure. Distinct from RotatorCuffCondition (encounter-diagnosis category, Condition.code fixed to the single tear inclusion diagnosis) and from ShoulderDiagnosisCondition (a coexisting non-rotator-cuff shoulder finding, ADR-0077) — shoulder-region disorders are out of scope for this profile; enforced client-side by excluding SNOMED descendants of 118944007 |Disorder of shoulder region| from the comorbidity typeahead (ADR-0084). ShoulderComorbidityCondition parents from HL7 Europe Core `condition-eu-core` (which preferred-binds to IPS `problems-uv-ips`); the extensible binding to `problems-snomed-absent-unknown-uv-ips` sits on top. See ADR-0055, ADR-0058. Comorbidity instances additionally claim IPS `Condition-uv-ips` conformance via `meta.profile[]` — the patient-reference chain holds via ADR-0057's ShoulderPatient → patient-eu-core + PatientUvIps multi-profile. Both frontends carry the SNOMED typeahead; the SDC frontend realises it through an `#open-choice` item type plus the `SnomedTypeahead`/`useSnomedTypeahead` capability (same exclusion set) and the none-known/no-information flags (ADR-0137).","ShoulderComorbidityCondition profile (Parent: condition-eu-core); code extensible-bound to http://hl7.org/fhir/uv/ips/ValueSet/problems-snomed-absent-unknown-uv-ips; category fixed to problem-list-item. Comorbidity instances declare meta.profile=[shoulder-comorbidity-condition, Condition-uv-ips]. RotatorCuffRegistrationBundle.entry[comorbidity] 0..*. SnomedTypeahead component in StepPatient (debounced $expand via tx.fhir.org delegation, ADR-0050) and in SDC's QuestionnaireForm.tsx via a new open-choice render branch (ADR-0137), both client-side-excluding shoulder-region disorders (ADR-0084)."
Q1.d,Consensus,Q1,Patient History,Smoking,Observation,Observation.code | Observation.valueCodeableConcept,http://loinc.org#72166-2 | http://hl7.org/fhir/uv/ips/ValueSet/current-smoking-status-uv-ips,extensible,Registration,Reused,Reused,"Observation.code fixed to LOINC 72166-2 (Tobacco smoking status), matching IPS Observation-tobaccouse-uv-ips. valueCodeableConcept extensible-bound to IPS 1.1.0 CurrentSmokingStatusUvIps, which IPS publishes as 8 LOINC answer-list codes (LA18976-3 Current every day smoker, LA18977-1 Current some day smoker, LA15920-4 Former smoker, LA18978-9 Never smoker, LA18979-7 Smoker current status unknown, LA18980-5 Unknown if ever smoked, LA18981-3 Heavy tobacco smoker, LA18982-1 Light tobacco smoker). Binding strength tightened from IPS's preferred to extensible for the same single-jurisdiction registry-comparability reason as Q1.c (ADR-0055 §'Why extensible, not preferred'). IPS ships a loinc-smoking-status-to-snomed-ct-uv-ips ConceptMap for exporters that need SNOMED downstream; inline dual-coding is not required by the profile. Cumulative pack-years is carried as a sibling Observation (SmokingPackYearsObservation, SNOMED 782516008 — no LOINC concept exists for cumulative pack-years, verified July 2026); only meaningful for current/former smokers. See ADR-0056, ADR-0105.","SmokingStatusObservation profile (Parent: ShoulderObservation; code = LOINC#72166-2); valueCodeableConcept extensible-bound to http://hl7.org/fhir/uv/ips/ValueSet/current-smoking-status-uv-ips. IPS package loaded into HAPI by seed/load-ips-package.sh (canary VS/current-smoking-status-uv-ips). Frontend dropdown renders LOINC LA codes via HAPI $expand of the IPS canonical. Smoking observation instances additionally claim IPS Observation-tobaccouse-uv-ips conformance via meta.profile[]; the patient-reference chain holds because ShoulderPatient claims PatientUvIps (ADR-0057, ADR-0060). SmokingPackYearsObservation sibling profile (code = SNOMED#782516008; valueQuantity, UCUM {pack-years})."
Q1.e,Consensus,Q1,Patient History,Traumatic etiology,Condition,Condition.extension[condition-dueTo].valueCodeableConcept,RotatorCuffEtiology,required,Registration,—,Reused + Local,"Etiology is post-coordinated via the FHIR R4 standard condition-dueTo extension (CodeableConcept), independent of the anatomic SNOMED code in Condition.code. Required binding to RotatorCuffEtiology forces explicit classification (traumatic / degenerative / mixed / unknown); clinicians select Unknown (origin) if causation is not determinable. Replaces prior code-choice-only mechanism — onset[x] does NOT encode etiology (degenerative tears can have precise onset dates too). See ADR-0047.","RotatorCuffCondition.extension[dueTo].valueCodeableConcept 1..1 MS, required-bound to RotatorCuffEtiology = { SCT#773760007 Traumatic event, SCT#362975008 Degenerative disorder, ShoulderEtiology#mixed Mixed (acute-on-chronic) etiology, SCT#54690008 Unknown (origin) }"
Q1.f,Consensus,Q1,Patient History,Prior treatment (PT/injections),Procedure,Procedure.code | Procedure.category,RotatorCuffProcedureType | PriorTreatmentCategory,extensible | required,Registration,Reused,—,"expert consensus A1(f) bundles 'physical therapy/injections' as one consensus item; the IG realises it via two SNOMED-coded RotatorCuffProcedure resources placed in RotatorCuffRegistrationBundle.entry[priorTreatment] with category-bound PriorTreatmentCategory. Each prior-treatment Procedure already carries reasonReference to the index RotatorCuffCondition, structurally linking it to the current disease (not an unrelated condition). Prior-treatment volume is carried as bucketed sibling Observations: PriorPhysicalTherapySessionCountObservation (≤10 / 11-20 / >20 sessions) and PriorInjectionCountObservation (1-3 / >3 injections) — no SNOMED/LOINC concept exists for either axis (verified July 2026). See ADR-0105.","RotatorCuffProcedure (SNOMED 91251008 PT; 27813003 / 290035003 injection); RotatorCuffProcedureType carries both. PriorPhysicalTherapySessionCountObservation / PriorInjectionCountObservation sibling profiles (local codes, valueCodeableConcept required-bound)."
Q1.h,Consensus,Q1,Patient History,Pain (history),Observation,Observation.code,local:ShoulderObservationCodes#pain-average/#pain-active-movement/#pain-passive-movement/#pain-rest,required,Registration,Local,Numeric,Interpretation: the expert consensus names only 'Pain'; the IG decomposes this into 4 context-specific 0–10 measurements (on average / with active movement / with passive movement / at rest); generic LOINC 72514-3 carries no context qualifier and is not used. No precoordinated LOINC/SNOMED concept distinguishes pain context (verified July 2026). 4 profiles shared symmetrically with Q8.a and Q12.a; differentiated by effectiveDateTime,PainAverageObservation + PainActiveMovementObservation + PainPassiveMovementObservation + PainRestObservation profiles; valueQuantity 0–10 each
Q1.i,Consensus,Q1,Patient History,Sleep disturbance,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#sleep-disturbance | local:SleepDisturbanceSeverity,required,Registration,Local,Local,"Interpretation: the expert consensus names only 'Sleep disturbance' with no mechanism specified. The IG realises it as a 3-tier ordinal (unaffected / occasionally disturbed / nightly disturbed) matching the Constant-Murley score's own ADL sleep sub-item (expert consensus Q12's preferred outcome instrument), and structurally linked to the index Condition via evidence.detail so the shoulder-attribution is a queryable FHIR relationship, not only implied by question wording. No SNOMED CT or LOINC concept exists for this axis (verified July 2026). See ADR-0081.",SleepDisturbanceObservation profile (code = ShoulderObservationCodes#sleep-disturbance); valueCodeableConcept required-bound to SleepDisturbanceSeverity; wired into RotatorCuffCondition.evidence.detail via RegistrationWizard's EVIDENCE_PROFILE_KEYS (same mechanism as the provocation tests).
Q1.j,Consensus,Q1,Patient History,Sports,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#sports-participation | SportsParticipationLevel,required,Registration,Local,Local,"Interpretation: the expert consensus names only 'Sports' — could mean binary participation (yes/no) or level/type. The IG decomposes as a 4-tier participation-level ordinal (none / recreational / competitive / professional) via valueCodeableConcept, strictly more informative than the yes/no reading and coarsely comparable to DART's DEM-08 (Tegner-mappable). No SNOMED CT or LOINC ordinal value codes exist for this axis (verified July 2026). An IG decomposition choice; not consensus wording.",SportsParticipationObservation profile (code = ShoulderObservationCodes#sports-participation); valueCodeableConcept bound required to SportsParticipationLevel
Q1.k,Consensus,Q1,Patient History,Occupation,Observation (x3),Observation.code | Observation.valueCodeableConcept,http://loinc.org#67875-5 | local:EmploymentStatus | local:OccupationalPhysicalDemand | local:OccupationalOverheadExposure,required,Registration,Reused + Local,Reused + Local,"Interpretation: the expert consensus names only 'Occupation' with no mechanism specified — the IG realises it as three coded axes rather than a free-text job title, which carries little analytical value: employment status (LOINC 67875-5, official answer list LL1901-9 plus one local 'self-employed' addition that list is missing, verified July 2026), occupational physical-demand intensity (fully local — sedentary/light-manual/heavy-manual; no SNOMED/LOINC concept exists, verified July 2026), and occupational overhead-work exposure (fully local yes/no/unknown; no SNOMED/LOINC concept exists, verified July 2026). Overhead exposure is an axis independent of physical-demand intensity, so an occupation that is simultaneously heavy AND overhead (e.g. a roofer) is not forced into an either/or choice. Physical demand/overhead exposure are novel axes not captured by any comparable registry (DART/EPRD/IRD/SEPR), directly motivated by overhead/repetitive shoulder loading being a well-established rotator-cuff risk and return-to-work factor. See ADR-0082, ADR-0105.","EmploymentStatusObservation profile (code = LOINC#67875-5; valueCodeableConcept required-bound to hybrid EmploymentStatus ValueSet) + OccupationalPhysicalDemandObservation profile (code = ShoulderObservationCodes#occupational-physical-demand; valueCodeableConcept required-bound to local OccupationalPhysicalDemand ValueSet, 3 intensity tiers) + OccupationalOverheadExposureObservation profile (code = ShoulderObservationCodes#occupational-overhead-exposure; valueCodeableConcept required-bound to local OccupationalOverheadExposure ValueSet)."
